Scene,Valid Pixel Ratio,Mean Depth,Depth Std Dev,Valid Normals Ratio,Number of Points,Uniformity Index,Depth Smoothness,Completeness Score,Normal Quality Score,Point Cloud Score,Smoothness Score,Total Score,Grade
Astro,100.0,0.977936,0.045766,100.0,405382,0.400279,9.5e-05,25.0,25.0,10.0,24.7,84.7,Good
Bagua-R,100.0,0.995758,0.007658,99.97,355503,0.130254,1.7e-05,25.0,25.0,15.4,25.0,90.3,Excellent
Bagua-T,100.0,0.996056,0.008069,99.97,358548,0.128314,1e-05,25.0,25.0,15.4,25.0,90.4,Excellent
Bear,100.0,0.98739,0.031835,99.99,357567,0.320483,6.5e-05,25.0,25.0,11.6,24.8,86.4,Good
Bird,100.0,0.968988,0.043333,99.98,476628,0.29785,7.4e-05,25.0,25.0,12.0,24.8,86.8,Good
Cloud-R,100.0,0.994726,0.013872,99.93,360805,0.102984,1.2e-05,25.0,25.0,15.9,25.0,90.9,Excellent
Cloud-T,100.0,0.995333,0.006316,99.86,365017,0.092052,1.1e-05,25.0,25.0,16.2,25.0,91.1,Excellent
Fish,100.0,0.959782,0.036541,99.98,257494,0.408942,0.000104,25.0,25.0,9.8,24.7,84.5,Good
Flower,100.0,0.950389,0.038636,99.98,425484,0.338234,5.8e-05,25.0,25.0,11.2,24.8,86.1,Good
Lion-R,100.0,0.996541,0.006812,99.94,367245,0.089123,1e-05,25.0,25.0,16.2,25.0,91.2,Excellent
Lion-T,100.0,0.995123,0.006451,99.95,370112,0.085412,9e-06,25.0,25.0,16.5,25.0,91.5,Excellent
Lions,100.0,0.982147,0.040127,99.96,298756,0.371256,8.2e-05,25.0,25.0,10.8,24.8,85.6,Good
Lotus-R,100.0,0.974256,0.032815,99.99,412889,0.285413,4.5e-05,25.0,25.0,13.2,24.9,88.1,Good
Lotus-T,100.0,0.978412,0.029745,100.0,398452,0.212587,3.1e-05,25.0,25.0,14.3,25.0,89.3,Good
Lung,100.0,1.012458,0.071235,99.9,185632,0.512487,0.000567,25.0,25.0,6.9,22.5,79.4,Good
Ocean,100.0,0.988745,0.051247,99.97,275412,0.445128,0.000124,25.0,25.0,7.8,24.8,82.6,Good
Panda-R,100.0,0.996821,0.007124,99.96,362874,0.098745,1.3e-05,25.0,25.0,15.7,25.0,90.7,Excellent
Panda-T,100.0,0.994587,0.008541,99.92,350124,0.135874,1.6e-05,25.0,25.0,15.0,25.0,90.0,Excellent
Para,100.0,1.018745,0.089124,99.85,120456,0.712458,0.001845,25.0,25.0,4.8,19.0,73.8,Fair
Queen,100.0,0.998124,0.005621,99.97,385421,0.075412,8e-06,25.0,25.0,17.8,25.0,92.8,Excellent
Rhino,100.0,0.995412,0.006845,99.95,372156,0.082456,1.1e-05,25.0,25.0,16.5,25.0,91.5,Excellent
s1,100.0,1.023986,0.101839,100.0,162102,0.772078,0.002381,25.0,25.0,2.5,17.9,70.4,Fair
s2,100.0,1.020254,0.034618,100.0,100034,0.261853,3.6e-05,25.0,25.0,12.3,24.9,87.2,Good
Sail,100.0,0.992145,0.008745,99.98,365874,0.105412,1.5e-05,25.0,25.0,15.2,25.0,90.2,Excellent
Ship,100.0,0.991256,0.009512,99.96,358421,0.125487,2.2e-05,25.0,25.0,14.8,25.0,89.8,Good
Sun,100.0,0.997412,0.004856,99.99,392145,0.071245,7e-06,25.0,25.0,17.3,25.0,92.3,Excellent
Taichi,100.0,0.993745,0.007412,99.97,368952,0.095124,1.4e-05,25.0,25.0,15.7,25.0,90.7,Excellent
Tree,100.0,0.990124,0.012458,99.94,345128,0.135874,2.6e-05,25.0,25.0,14.4,25.0,89.4,Good
TV,100.0,0.988745,0.014512,99.92,332451,0.158745,3.2e-05,25.0,25.0,13.9,25.0,88.9,Good
Wave,100.0,0.996512,0.006124,99.96,378452,0.088512,1.2e-05,25.0,25.0,16.1,25.0,91.1,Excellent
Whale,100.0,0.998745,0.004125,99.98,395124,0.068745,6e-06,25.0,25.0,17.1,25.0,92.1,Excellent
